season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
11//12,LaLiga,12,2011-11-06,H,Real Madrid,CA Osasuna,7:01,LW,23,1:00,Header,Angel Di Maria,ronaldo,False,False,1,1,7,2011,11,6,Sunday,November,middle,first half
11//12,LaLiga,12,2011-11-06,H,Real Madrid,CA Osasuna,7:01,LW,55,4:01,Penalty,no assist,ronaldo,False,False,4,1,7,2011,11,6,Sunday,November,middle,second time
11//12,LaLiga,12,2011-11-06,H,Real Madrid,CA Osasuna,7:01,LW,58,5:01,Header,alvaro Arbeloa,ronaldo,False,False,5,1,7,2011,11,6,Sunday,November,middle,second time
11//12,LaLiga,13,2011-11-19,A,Real Madrid,Valencia CF,2:03,LW,79,1:03,Right-footed shot,Pepe,ronaldo,False,False,3,2,3,2011,11,19,Saturday,November,middle,second time
11//12,LaLiga,14,2011-11-26,H,Real Madrid,Atletico de Madrid,4:01,LW,24,1:01,Penalty,no assist,ronaldo,False,False,1,1,4,2011,11,26,Saturday,November,middle,first half
11//12,LaLiga,14,2011-11-26,H,Real Madrid,Atletico de Madrid,4:01,LW,82,4:01,Penalty,no assist,ronaldo,False,False,4,1,4,2011,11,26,Saturday,November,middle,second time
11//12,LaLiga,15,2011-12-03,A,Real Madrid,Sporting GijÃ³n,0:03,LW,65,0:02,Right-footed shot,Angel Di Maria,ronaldo,False,False,2,0,3,2011,12,3,Saturday,December,middle,second time
11//12,Copa del Rey,4th round,2011-12-13,A,Real Madrid,SD Ponferradina,0:02,LW,74,0:02,Left-footed shot,Gonzalo Higuain,ronaldo,False,False,2,0,2,2011,12,13,Tuesday,December,middle,second time
11//12,LaLiga,17,2011-12-17,A,Real Madrid,Sevilla FC,2:06,LW,10,0:01,Right-footed shot,Angel Di Maria,ronaldo,False,False,1,2,6,2011,12,17,Saturday,December,middle,first half
11//12,LaLiga,17,2011-12-17,A,Real Madrid,Sevilla FC,2:06,LW,41,0:03,Right-footed shot,Karim Benzema,ronaldo,False,False,3,2,6,2011,12,17,Saturday,December,middle,first half
11//12,LaLiga,17,2011-12-17,A,Real Madrid,Sevilla FC,2:06,LW,86,1:05,Penalty,no assist,ronaldo,False,False,5,2,6,2011,12,17,Saturday,December,middle,second time
11//12,LaLiga,18,2012-01-07,H,Real Madrid,Granada CF,5:01,LW,89,5:01,Right-footed shot,Karim Benzema,ronaldo,False,False,5,1,5,2012,1,7,Saturday,January,middle,second time
11//12,Copa del Rey,quarter-finals,2012-01-18,H,Real Madrid,FC Barcelona,1:02,LW,11,1:00,Left-footed shot,Karim Benzema,ronaldo,False,False,1,2,1,2012,1,18,Wednesday,January,middle,first half
11//12,LaLiga,1,2012-01-22,H,Real Madrid,Athletic Bilbao,4:01,LW,46,2:01,Penalty,no assist,ronaldo,False,False,2,1,4,2012,1,22,Sunday,January,middle,second time
11//12,LaLiga,1,2012-01-22,H,Real Madrid,Athletic Bilbao,4:01,LW,67,3:01,Penalty,no assist,ronaldo,False,False,3,1,4,2012,1,22,Sunday,January,middle,second time
11//12,Copa del Rey,quarter-finals,2012-01-25,A,Real Madrid,FC Barcelona,2:02,LW,68,2:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,1,2,2,2012,1,25,Wednesday,January,middle,second time
11//12,LaLiga,21,2012-01-28,H,Real Madrid,Real Zaragoza,3:01,LW,48,2:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,2,1,3,2012,1,28,Saturday,January,middle,second time
11//12,LaLiga,23,2012-02-12,H,Real Madrid,Levante UD,4:02,LW,45,1:01,Penalty,no assist,ronaldo,False,False,1,2,4,2012,2,12,Sunday,February,middle,first half
11//12,LaLiga,23,2012-02-12,H,Real Madrid,Levante UD,4:02,LW,50,2:01,Header,Gonzalo Higuain,ronaldo,False,False,2,2,4,2012,2,12,Sunday,February,middle,second time
11//12,LaLiga,23,2012-02-12,H,Real Madrid,Levante UD,4:02,LW,57,3:01,Right-footed shot,Fabio CoentrÃ£o,ronaldo,False,False,3,2,4,2012,2,12,Sunday,February,middle,second time
11//12,LaLiga,24,2012-02-18,H,Real Madrid,Racing Santander,4:00,LW,6,1:00,Header,Kaka,ronaldo,False,False,1,0,4,2012,2,18,Saturday,February,middle,first half
11//12,UEFA Champions League,last 16,2012-02-21,A,Real Madrid,CSKA Moscow,1:01,LW,28,0:01,Left-footed shot,Fabio CoentrÃ£o,ronaldo,False,False,1,1,1,2012,2,21,Tuesday,February,middle,first half
11//12,LaLiga,25,2012-02-26,A,Real Madrid,Rayo Vallecano,0:01,LW,53,0:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,1,0,1,2012,2,26,Sunday,February,middle,second time
11//12,LaLiga,26,2012-03-04,H,Real Madrid,RCD Espanyol Barcelona,5:00,LW,23,1:00,Left-footed shot,Gonzalo Higuain,ronaldo,False,False,1,0,5,2012,3,4,Sunday,March,end,first half
11//12,LaLiga,27,2012-03-10,A,Real Madrid,Real Betis Balompie,2:03,LW,52,1:02,Left-footed shot,Marcelo,ronaldo,False,False,2,2,3,2012,3,10,Saturday,March,end,second time
11//12,LaLiga,27,2012-03-10,A,Real Madrid,Real Betis Balompie,2:03,LW,73,2:03,Left-footed shot,Angel Di Maria,ronaldo,False,False,3,2,3,2012,3,10,Saturday,March,end,second time
11//12,UEFA Champions League,last 16,2012-03-14,H,Real Madrid,CSKA Moscow,4:01,LW,55,2:00,Right-footed shot,Sergio Ramos,ronaldo,False,False,2,1,4,2012,3,14,Wednesday,March,end,second time
11//12,UEFA Champions League,last 16,2012-03-14,H,Real Madrid,CSKA Moscow,4:01,LW,90+4,4:01,Right-footed shot,Karim Benzema,ronaldo,False,False,4,1,4,2012,3,14,Wednesday,March,end,plus 90
11//12,LaLiga,29,2012-03-21,A,Real Madrid,Villarreal CF,1:01,LW,61,0:01,Right-footed shot,Mesut Ozil,ronaldo,False,False,1,1,1,2012,3,21,Wednesday,March,end,second time
